date,Mkt-RF,SMB,HML,RF
20040213,   -0.57,   -0.73,   -0.14,   0.003
20040217,    0.98,    0.34,    0.59,   0.003
20040218,   -0.39,   -0.11,    0.08,   0.003
20040219,   -0.54,   -0.99,   -0.14,   0.003
20040220,   -0.30,   -0.11,   -0.30,   0.003
20040223,   -0.51,   -1.18,   -0.18,   0.003
20040224,   -0.14,    0.32,   -0.20,   0.003
20040225,    0.54,    0.50,    0.20,   0.003
20040226,    0.29,    0.45,    0.42,   0.003
20040227,    0.11,    0.19,    0.32,   0.003
20040301,    1.02,    0.51,    0.29,   0.004
20040302,   -0.59,   -0.09,    0.12,   0.004
20040303,    0.14,   -0.20,   -0.12,   0.004
20040304,    0.44,    0.76,    0.29,   0.004
20040305,    0.24,   -0.10,   -0.23,   0.004
20040308,   -0.84,   -0.35,    0.20,   0.004
20040309,   -0.66,   -0.43,   -0.34,   0.004
20040310,   -1.50,   -0.27,   -0.39,   0.004
20040311,   -1.42,    0.35,   -0.13,   0.004
20040312,    1.34,    0.99,    0.23,   0.004
20040315,   -1.56,   -1.05,   -0.29,   0.004
20040316,    0.43,   -0.65,   -0.08,   0.004
20040317,    1.22,    0.70,    0.37,   0.004
20040318,   -0.20,   -0.52,    0.12,   0.004
20040319,   -1.00,    0.31,    0.27,   0.004
20040322,   -1.42,   -0.64,   -0.23,   0.004
20040323,   -0.09,    0.37,    0.01,   0.004
20040324,   -0.27,   -0.08,   -0.11,   0.004
20040325,    1.68,    0.76,   -0.18,   0.004
20040326,    0.00,    0.32,    0.34,   0.004
20040329,    1.34,    0.58,   -0.22,   0.004
20040330,    0.47,    0.45,    0.15,   0.004
20040331,    0.00,    0.14,    0.21,   0.004
20040401,    0.64,    0.24,    0.04,   0.004
20040402,    0.90,    0.80,    0.07,   0.004
20040405,    0.79,    0.14,   -0.39,   0.004
20040406,   -0.28,   -0.74,    0.19,   0.004
20040407,   -0.50,    0.88,   -0.12,   0.004
20040408,   -0.14,   -0.32,    0.16,   0.004
20040412,    0.50,    0.23,   -0.32,   0.004
20040413,   -1.50,   -0.55,   -0.38,   0.004
20040414,   -0.21,   -0.30,   -0.42,   0.004
20040415,   -0.04,   -0.23,   -0.38,   0.004
20040416,    0.46,   -0.05,    0.10,   0.004
20040419,    0.22,    0.50,   -0.28,   0.004
20040420,   -1.48,   -0.23,    0.00,   0.004
20040421,    0.60,    0.57,    0.01,   0.004
20040422,    1.44,    0.14,   -0.06,   0.004
20040423,   -0.01,   -0.29,   -0.03,   0.004
20040426,   -0.33,    0.00,   -0.34,   0.004
20040427,    0.13,   -0.04,   -0.12,   0.004
20040428,   -1.46,   -0.91,   -0.05,   0.004
20040429,   -0.86,   -0.79,   -0.75,   0.004
20040430,   -0.66,   -0.80,   -0.03,   0.004
20040503,    0.85,    0.02,   -0.36,   0.003
20040504,    0.21,    0.41,    0.17,   0.003
20040505,    0.27,   -0.11,   -0.18,   0.003
20040506,   -0.80,   -0.35,   -0.18,   0.003
